county,year,population
Woodbury ,2017,102098
Black Hawk ,2017,132278
Johnson ,2017,149703
Scott ,2017,172691
Linn ,2017,224553
Polk ,2017,480962
Adams ,2018,3628
Ringgold ,2018,4921
Audubon ,2018,5482
Osceola ,2018,6020
Taylor ,2018,6190
Wayne ,2018,6376
Pocahontas ,2018,6709
Ida ,2018,6829
Fremont ,2018,6956
Van Buren ,2018,7008
Adair ,2018,7028
Worth ,2018,7416
Monroe ,2018,7738
Decatur ,2018,7901
Lucas ,2018,8590
Monona ,2018,8649
Palo Alto ,2018,8910
Greene ,2018,8971
Davis ,2018,8967
Howard ,2018,9185
Emmet ,2018,9276
Clarke ,2018,9489
Humboldt ,2018,9520
Calhoun ,2018,9653
Sac ,2018,9675
Montgomery ,2018,9976
Franklin ,2018,10081
Keokuk ,2018,10221
Winnebago ,2018,10555
Mitchell ,2018,10536
Hancock ,2018,10726
Guthrie ,2018,10719
Louisa ,2018,11135
Cherokee ,2018,11281
Shelby ,2018,11564
Lyon ,2018,11849
Chickasaw ,2018,11965
Union ,2018,12297
Grundy ,2018,12268
Appanoose ,2018,12467
Wright ,2018,12669
Cass ,2018,12959
Allamakee ,2018,13832
O'Brien ,2018,13806
Harrison ,2018,14086
Butler ,2018,14516
Kossuth ,2018,14834
Hamilton ,2018,14887
Mills ,2018,15122
Page ,2018,15227
Floyd ,2018,15784
Clay ,2018,16167
Iowa ,2018,16150
Madison ,2018,16140
Hardin ,2018,16965
Crawford ,2018,17081
Tama ,2018,16853
Delaware ,2018,17115
Dickinson ,2018,17159
Clayton ,2018,17515
Jefferson ,2018,18102
Poweshiek ,2018,18461
Cedar ,2018,18508
Jackson ,2018,19375
Fayette ,2018,19643
Buena Vista ,2018,19807
Henry ,2018,20015
Winneshiek ,2018,20026
Carroll ,2018,20101
Jones ,2018,20627
Buchanan ,2018,21140
Washington ,2018,22095
Mahaska ,2018,22203
Bremer ,2018,25022
Plymouth ,2018,25024
Benton ,2018,25546
Boone ,2018,26356
Marion ,2018,33251
Lee ,2018,33929
Sioux ,2018,34767
Wapello ,2018,35060
Webster ,2018,36361
Jasper ,2018,37121
Des Moines ,2018,39259
Marshall ,2018,39879
Cerro Gordo ,2018,42643
Muscatine ,2018,42784
Clinton ,2018,46506
Warren ,2018,51053
Pottawattamie ,2018,93445
Dallas ,2018,89999
Dubuque ,2018,96961
Story ,2018,96749
Woodbury ,2018,102415
Black Hawk ,2018,131769
Johnson ,2018,151003
Scott ,2018,173019
Linn ,2018,226060
Polk ,2018,486222
Adams ,2019,3602
Ringgold ,2019,4866
Audubon ,2019,5491
Osceola ,2019,5961
Taylor ,2019,6188
Wayne ,2019,6413
Pocahontas ,2019,6632
Ida ,2019,6822
Fremont ,2019,6917
Van Buren ,2019,7044
Adair ,2019,7102
Worth ,2019,7407
Monroe ,2019,7681
Decatur ,2019,7852
Lucas ,2019,8561
Monona ,2019,8626
Palo Alto ,2019,8873
Greene ,2019,8881
Davis ,2019,9006
Howard ,2019,9146
Emmet ,2019,9224
Clarke ,2019,9382
Humboldt ,2019,9499
Calhoun ,2019,9616
Sac ,2019,9675
Montgomery ,2019,9917
Franklin ,2019,10082
Keokuk ,2019,10192
Winnebago ,2019,10357
Mitchell ,2019,10565
Hancock ,2019,10664
Guthrie ,2019,10741
Louisa ,2019,11059
Cherokee ,2019,11231
Shelby ,2019,11479
Lyon ,2019,11806
Chickasaw ,2019,11943
Union ,2019,12224
Grundy ,2019,12227
Appanoose ,2019,12525
Wright ,2019,12551
Cass ,2019,12822
Allamakee ,2019,13671
O'Brien ,2019,13796
Harrison ,2019,14034
Butler ,2019,14404
Kossuth ,2019,14769
Hamilton ,2019,14797
Mills ,2019,15124
Page ,2019,15129
Floyd ,2019,15655
Clay ,2019,16094
Iowa ,2019,16146
Madison ,2019,16273
Hardin ,2019,16809
Crawford ,2019,16903
Tama ,2019,16904
Delaware ,2019,17057
Dickinson ,2019,17290
Clayton ,2019,17497
Jefferson ,2019,18180
Poweshiek ,2019,18458
Cedar ,2019,18541
Jackson ,2019,19375
Fayette ,2019,19575
Buena Vista ,2019,19690
Henry ,2019,19835
Winneshiek ,2019,19992
Carroll ,2019,20118
Jones ,2019,20634
Buchanan ,2019,21148
Washington ,2019,22030
Mahaska ,2019,22429
Bremer ,2019,25170
Plymouth ,2019,25200
Benton ,2019,25544
Boone ,2019,26338
Marion ,2019,33280
Lee ,2019,33641
Sioux ,2019,34950
Wapello ,2019,35151
Webster ,2019,35982
Jasper ,2019,37171
Des Moines ,2019,39051
Marshall ,2019,39472
Cerro Gordo ,2019,42477
Muscatine ,2019,42571
Clinton ,2019,46559
Warren ,2019,51548
Pottawattamie ,2019,93405
Dallas ,2019,93631
Dubuque ,2019,97432
Story ,2019,97441
Woodbury ,2019,103132
Black Hawk ,2019,131089
Johnson ,2019,152480
Scott ,2019,173400
Linn ,2019,227241
Polk ,2019,491031
Adams ,2020,3588
Ringgold ,2020,4801
Audubon ,2020,5481
Osceola ,2020,5987
Taylor ,2020,6092
Wayne ,2020,6415
Pocahontas ,2020,6607
Ida ,2020,6833
Fremont ,2020,6729
Van Buren ,2020,7069
Adair ,2020,7059
Worth ,2020,7359
Monroe ,2020,7770
Decatur ,2020,7769
Lucas ,2020,8518
Monona ,2020,8598
Palo Alto ,2020,8845
Greene ,2020,8795
Davis ,2020,9051
Howard ,2020,9176
Emmet ,2020,9095
Clarke ,2020,9353
Humboldt ,2020,9473
Calhoun ,2020,9473
Sac ,2020,9603
Montgomery ,2020,9935
Franklin ,2020,9971
Keokuk ,2020,10085
Winnebago ,2020,10277
Mitchell ,2020,10647
Hancock ,2020,10507
Guthrie ,2020,10737
Louisa ,2020,11011
Cherokee ,2020,11190
Shelby ,2020,11430
Lyon ,2020,11756
Chickasaw ,2020,11834
Union ,2020,12157
Grundy ,2020,12217
Appanoose ,2020,12430
Wright ,2020,12416
Cass ,2020,12817
Allamakee ,2020,13642
O'Brien ,2020,13679
Harrison ,2020,13928
Butler ,2020,14333
Kossuth ,2020,14680
Hamilton ,2020,14716
Mills ,2020,14766
Page ,2020,15073
Floyd ,2020,15480
Clay ,2020,15976
Iowa ,2020,16138
Madison ,2020,16521
Hardin ,2020,16575
Crawford ,2020,16834
Tama ,2020,16801
Delaware ,2020,16937
Dickinson ,2020,17549
Clayton ,2020,17321
Jefferson ,2020,18347
Poweshiek ,2020,18381
Cedar ,2020,18485
Jackson ,2020,19205
Fayette ,2020,19258
Buena Vista ,2020,19772
Henry ,2020,19697
Winneshiek ,2020,19862
Carroll ,2020,19914
Jones ,2020,20617
Buchanan ,2020,21287
Washington ,2020,21992
Mahaska ,2020,22370
Bremer ,2020,25311
Plymouth ,2020,25219
Benton ,2020,25414
Boone ,2020,26277
Marion ,2020,33168
Lee ,2020,33480
Sioux ,2020,35043
Wapello ,2020,34985
Webster ,2020,35934
Jasper ,2020,37148
Des Moines ,2020,38708
Marshall ,2020,39495
Cerro Gordo ,2020,42103
Muscatine ,2020,42394
Clinton ,2020,46392
Warren ,2020,52265
Pottawattamie ,2020,93328
Dallas ,2020,96963
Dubuque ,2020,97590
Story ,2020,98237
Woodbury ,2020,103138
Black Hawk ,2020,130786
Johnson ,2020,153740
Scott ,2020,173216
Linn ,2020,227854
Polk ,2020,494281
