county,unemployment,year
Washington County,2.4,2019
Wayne County,2.6,2019
Webster County,3,2019
Winnebago County,2.7,2019
Winneshiek County,2.8,2019
Woodbury County,2.6,2019
Worth County,2.7,2019
Wright County,2.5,2019
Adair County,3.9,2020
Adams County,3.7,2020
Allamakee County,5,2020
Appanoose County,5.2,2020
Audubon County,3.4,2020
Benton County,5,2020
Black Hawk County,6.1,2020
Boone County,4,2020
Bremer County,3.8,2020
Buchanan County,4.5,2020
Buena Vista County,3.6,2020
Butler County,4.6,2020
Calhoun County,4,2020
Carroll County,3.9,2020
Cass County,3.8,2020
Cedar County,4.3,2020
Cerro Gordo County,5.1,2020
Cherokee County,3.7,2020
Chickasaw County,4.6,2020
Clarke County,5.3,2020
Clay County,4.4,2020
Clayton County,5.6,2020
Clinton County,6.6,2020
Crawford County,5.1,2020
Dallas County,3.5,2020
Davis County,3.9,2020
Decatur County,3.8,2020
Delaware County,3.9,2020
Des Moines County,7.3,2020
Dickinson County,5,2020
Dubuque County,5.7,2020
Emmet County,4.9,2020
Fayette County,5.4,2020
Floyd County,5.9,2020
Franklin County,3.7,2020
Fremont County,3,2020
Greene County,4.2,2020
Grundy County,4.3,2020
Guthrie County,4.9,2020
Hamilton County,4.3,2020
Hancock County,4.6,2020
Hardin County,4.5,2020
Harrison County,4,2020
Henry County,5.2,2020
Howard County,4.4,2020
Humboldt County,4.1,2020
Ida County,3.5,2020
Iowa County,4.3,2020
Jackson County,6,2020
Jasper County,5.2,2020
Jefferson County,5.4,2020
Johnson County,4.7,2020
Jones County,5.6,2020
Keokuk County,4.8,2020
Kossuth County,3.7,2020
Lee County,6.4,2020
Linn County,6.2,2020
Louisa County,4.8,2020
Lucas County,3.6,2020
Lyon County,2.5,2020
Madison County,5.6,2020
Mahaska County,4.7,2020
Marion County,4.1,2020
Marshall County,6.9,2020
Mills County,3.9,2020
Mitchell County,3.3,2020
Monona County,4.7,2020
Monroe County,5.1,2020
Montgomery County,4.6,2020
Muscatine County,5.8,2020
O'Brien County,3.3,2020
Osceola County,2.8,2020
Page County,4.9,2020
Palo Alto County,4.5,2020
Plymouth County,3.5,2020
Pocahontas County,3.4,2020
Polk County,5.9,2020
Pottawattamie County,5.2,2020
Poweshiek County,4.8,2020
Ringgold County,3.8,2020
Sac County,3.5,2020
Scott County,6.7,2020
